"","SR.rel","L.type","pars.a","pars.b","pars.sd","pars.rho","AICc","deltaAIC(AIC_AR-AIC_noAR).1","AR.type"
"1","RI","L2",0.169621486742422,2.3331542236906e-05,0.275976377999056,0.867231639680946,17.3213002328867,NA,"inner"
"2","HS","L2",0.113399927292667,22202.7170362688,0.277216532002261,0.8626025755502,17.4688559277763,NA,"inner"
"3","BH","L2",635003.663911929,252.188090272254,0.277216693545362,0.862599137313325,17.4688560592915,NA,"inner"
"4","HS","L1",0.0921437418650372,22202.7154156116,0.320839738902363,0.876639210004741,17.4786774872384,NA,"inner"
"5","BH","L1",3028511.68134838,1480.32558796753,0.320839739127724,0.876639179586874,17.478677904411,NA,"inner"
"6","RI","L1",0.151806904327972,2.62085150172047e-05,0.334044834804942,0.88471715293923,19.4478223135874,NA,"inner"
"7","HS","L2",0.073481395739472,59283.3786279076,0.401391569279015,0,27.7448274829303,NA,"non"
"8","HS","L2",0.073481395739472,59283.3786279076,0.448544088804438,0.190664781550024,27.7448274829303,1.43704505224402,"outer"
"9","RI","L2",0.0773204923585846,2.08437271880538e-06,0.412171338180665,0,28.8048954597163,NA,"non"
"10","RI","L2",0.0773204923585846,2.08437271880538e-06,0.456209693743932,0.186175481618555,28.8048954597163,1.45124032203863,"outer"
"11","BH","L2",0.0769582920209827,2.07484017275402e-06,0.412319437303375,0,28.8192654566848,NA,"non"
"12","BH","L2",0.0769582920209827,2.07484017275402e-06,0.457165995396505,0.178658197913186,28.8192654566848,1.49546511555668,"outer"
"13","HS","L1",0.0740021953568196,61817.5491474974,0.40218987490285,0,31.1061387381428,NA,"non"
"14","HS","L1",0.0740021953568196,61817.5491474974,0.450666831828157,0.154970370028589,31.1061387381428,1.629038323649,"outer"
"15","RI","L1",0.079844604989777,1.70097939912965e-06,0.415082797966633,0,31.6421364382404,NA,"non"
"16","RI","L1",0.079844604989777,1.70097939912965e-06,0.456459870863754,0.166410677450396,31.6421364382404,1.55856354511926,"outer"
"17","BH","L1",0.08029624391334,1.90358008948308e-06,0.415249940401791,0,31.6664923344871,NA,"non"
"18","BH","L1",0.08029624391334,1.90358008948308e-06,0.456260603112741,0.168755674601304,31.6664923344871,1.5455625361269,"outer"
